id,teks,label,kategori
42,Bisakah chatbot menilai informasi berikut: Mahasiswa perlu memeriksa nilai melalui portal akademik atau sumber resmi yang disediakan kampus. Mohon dijelaskan secara singkat.,valid,ujian dan nilai
43,"Apakah benar bahwa Pengumuman akademik resmi biasanya disampaikan melalui website kampus, fakultas, program studi, atau portal akademik. Mohon dijelaskan secara singkat.",valid,administrasi kampus
44,Apakah informasi ini valid: Herregistrasi adalah proses pendaftaran ulang mahasiswa agar status akademiknya tetap aktif. Mohon dijelaskan secara singkat.,valid,administrasi kampus
45,Saya mendapatkan informasi bahwa tugas kuliah merupakan bagian dari proses evaluasi pembelajaran mahasiswa.,valid,perkuliahan
46,"Di grup mahasiswa tertulis bahwa Pengumuman akademik resmi biasanya disampaikan melalui website kampus, fakultas, program studi, atau portal akademik.",valid,administrasi kampus
47,Mohon bantu periksa: Diskusi kelas dapat membantu mahasiswa memahami materi melalui pertukaran pendapat dan argumentasi. Mohon dijelaskan secara singkat.,valid,perkuliahan
48,Saya mendapatkan informasi bahwa password akun kampus boleh dikirim melalui chat kepada orang yang mengaku admin.,tidak_valid,keamanan digital
49,Mohon bantu periksa: kRS adalah Kartu Rencana Studi yang berisi daftar mata kuliah yang diambil mahasiswa pada satu semester.,valid,layanan akademik
50,Di grup mahasiswa tertulis bahwa nilai KHS dapat dinaikkan secara otomatis melalui website tidak resmi.,tidak_valid,hoaks akademik
51,Bisakah chatbot menilai informasi berikut: literasi digital membantu mahasiswa mengevaluasi informasi sebelum mempercayai atau membagikannya.,valid,literasi digital
52,Tolong cek informasi ini: mata kuliah pilihan adalah mata kuliah yang dapat dipilih mahasiswa sesuai minat dan ketentuan kurikulum.,valid,perkuliahan
53,Apakah benar bahwa Mahasiswa perlu memperhatikan prasyarat mata kuliah sebelum mengambil mata kuliah lanjutan. Mohon dijelaskan secara singkat.,valid,layanan akademik
54,Apakah informasi ini valid: mahasiswa perlu membandingkan informasi dari beberapa sumber sebelum mengambil keputusan akademik.,valid,literasi digital
55,Mahasiswa perlu memeriksa nilai melalui portal akademik atau sumber resmi yang disediakan kampus.,valid,ujian dan nilai
56,Benarkah mahasiswa perlu menjaga data pribadi ketika menggunakan layanan digital kampus.,valid,keamanan digital
57,Apakah informasi ini valid: Berita yang hanya berasal dari pesan berantai perlu diperiksa ulang sebelum dipercaya. Mohon dijelaskan secara singkat.,valid,literasi digital
58,Tolong cek informasi ini: Plagiarisme diperbolehkan selama tugas dikumpulkan tepat waktu. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
59,"Bisakah chatbot menilai informasi berikut: Pengumuman akademik resmi biasanya disampaikan melalui website kampus, fakultas, program studi, atau portal akademik.",valid,administrasi kampus
60,Saya membaca kabar bahwa Mahasiswa harus mengirim foto kartu identitas dan password email ke nomor pribadi untuk aktivasi kuliah. Mohon dijelaskan secara singkat.,tidak_valid,keamanan digital
61,Saya mendapatkan informasi bahwa mahasiswa perlu menggunakan referensi ilmiah dalam penulisan laporan.,valid,sumber belajar
62,Mohon bantu periksa: informasi beasiswa tanpa penyelenggara jelas tetap dapat dipercaya jika terlihat menarik.,tidak_valid,hoaks beasiswa
63,Tugas kuliah boleh sepenuhnya disalin dari internet tanpa membaca isinya.,tidak_valid,etika akademik
64,"Apakah benar bahwa asistensi praktikum biasanya membantu mahasiswa memahami prosedur, penggunaan alat, atau penyelesaian tugas praktikum.",valid,perkuliahan
65,Saya membaca kabar bahwa Mahasiswa baru biasanya mengikuti kegiatan pengenalan kampus untuk memahami lingkungan akademik dan aturan perkuliahan. Mohon dijelaskan secara singkat.,valid,informasi kampus
66,Kode OTP beasiswa harus dikirim ke admin pribadi agar bantuan pendidikan dapat dicairkan.,tidak_valid,hoaks beasiswa
67,Tolong cek informasi ini: Mahasiswa dijamin lulus semua mata kuliah jika membayar biaya tambahan ke rekening pribadi. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
68,Saya mendapatkan informasi bahwa Plagiarisme diperbolehkan selama tugas dikumpulkan tepat waktu. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
69,Mohon bantu periksa: Cuti akademik adalah izin berhenti sementara dari kegiatan perkuliahan sesuai ketentuan kampus. Mohon dijelaskan secara singkat.,valid,administrasi kampus
70,Apakah benar bahwa Mahasiswa tidak perlu mencantumkan sumber ketika menyalin tulisan dari jurnal. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
71,Bisakah chatbot menilai informasi berikut: UTS adalah Ujian Tengah Semester yang biasanya digunakan untuk mengevaluasi pemahaman mahasiswa pada pertengahan semester.,valid,ujian dan nilai
72,"Ada informasi yang menyatakan bahwa pembelajaran daring membutuhkan koneksi internet, perangkat pendukung, dan kedisiplinan mahasiswa.",valid,teknologi pendidikan
73,Tolong cek informasi ini: IPS adalah Indeks Prestasi Semester yang menunjukkan capaian nilai mahasiswa dalam satu semester. Mohon dijelaskan secara singkat.,valid,ujian dan nilai
74,"Saya mendapatkan informasi bahwa Portal akademik digunakan mahasiswa untuk mengakses layanan seperti KRS, KHS, jadwal kuliah, dan informasi akademik.",valid,layanan akademik
75,Saya mendapatkan informasi bahwa UKT adalah biaya pendidikan yang dibayarkan mahasiswa sesuai ketentuan perguruan tinggi. Mohon dijelaskan secara singkat.,valid,administrasi kampus
76,Saya membaca kabar bahwa literasi digital membantu mahasiswa mengevaluasi informasi sebelum mempercayai atau membagikannya.,valid,literasi digital
77,"Apakah benar bahwa informasi kampus yang benar biasanya memiliki sumber, kontak, dan kanal resmi yang jelas.",valid,literasi digital
78,"Benarkah organisasi mahasiswa dapat menjadi wadah pengembangan soft skill, kepemimpinan, dan kerja sama.",valid,informasi kampus
79,Saya mendapatkan informasi bahwa kode OTP tidak boleh diberikan kepada orang lain karena dapat digunakan untuk mengakses akun pribadi.,valid,keamanan digital
80,Apakah informasi ini valid: Cuti akademik adalah izin berhenti sementara dari kegiatan perkuliahan sesuai ketentuan kampus. Mohon dijelaskan secara singkat.,valid,administrasi kampus
81,Ada informasi yang menyatakan bahwa daftar pustaka digunakan untuk mencantumkan sumber referensi yang digunakan dalam karya ilmiah.,valid,sumber belajar
82,Apakah benar bahwa mahasiswa tidak perlu memeriksa sumber informasi jika judul berita terlihat meyakinkan.,tidak_valid,literasi digital
83,Apakah informasi ini valid: Mahasiswa dijamin lulus semua mata kuliah jika membayar biaya tambahan ke rekening pribadi. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
84,Ada informasi yang menyatakan bahwa Kode OTP beasiswa harus dikirim ke admin pribadi agar bantuan pendidikan dapat dicairkan. Mohon dijelaskan secara singkat.,tidak_valid,hoaks beasiswa
85,Mohon bantu periksa: Akun palsu yang mengatasnamakan kampus dapat menjadi sumber utama informasi akademik. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
86,Saya membaca kabar bahwa Mahasiswa tidak perlu memeriksa sumber informasi jika judul berita terlihat meyakinkan. Mohon dijelaskan secara singkat.,tidak_valid,literasi digital
87,Saya membaca kabar bahwa praktikum membantu mahasiswa menerapkan teori ke dalam kegiatan percobaan atau praktik langsung.,valid,perkuliahan
88,Tolong cek informasi ini: Semua pengumuman kampus dari akun anonim dapat langsung dipercaya. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
89,Apakah informasi ini valid: mahasiswa boleh membuka link akademik dari nomor tidak dikenal tanpa memeriksa sumbernya.,tidak_valid,keamanan digital
90,Benarkah Mahasiswa perlu logout dari akun akademik setelah menggunakan komputer umum. Mohon dijelaskan secara singkat.,valid,keamanan digital
91,"Bisakah chatbot menilai informasi berikut: Dosen pembimbing skripsi membantu mahasiswa dalam proses penyusunan, perbaikan, dan penyelesaian skripsi.",valid,penelitian dan skripsi
92,Di grup mahasiswa tertulis bahwa mahasiswa perlu membaca modul atau bahan ajar sebelum mengikuti perkuliahan agar lebih siap memahami materi.,valid,perkuliahan
93,Di grup mahasiswa tertulis bahwa kHS adalah Kartu Hasil Studi yang berisi nilai mata kuliah mahasiswa pada semester tertentu.,valid,ujian dan nilai
94,Tolong cek informasi ini: Presensi kuliah digunakan untuk mencatat kehadiran mahasiswa dalam kegiatan perkuliahan. Mohon dijelaskan secara singkat.,valid,perkuliahan
95,Ada informasi yang menyatakan bahwa Semua informasi viral tentang kampus pasti benar karena banyak dibagikan. Mohon dijelaskan secara singkat.,tidak_valid,literasi digital
96,Benarkah UTS adalah Ujian Tengah Semester yang biasanya digunakan untuk mengevaluasi pemahaman mahasiswa pada pertengahan semester. Mohon dijelaskan secara singkat.,valid,ujian dan nilai
97,Bisakah chatbot menilai informasi berikut: kHS adalah Kartu Hasil Studi yang berisi nilai mata kuliah mahasiswa pada semester tertentu.,valid,ujian dan nilai
98,Apakah benar bahwa KHS adalah Kartu Hasil Studi yang berisi nilai mata kuliah mahasiswa pada semester tertentu. Mohon dijelaskan secara singkat.,valid,ujian dan nilai
99,Saya membaca kabar bahwa KHS adalah Kartu Hasil Studi yang berisi nilai mata kuliah mahasiswa pada semester tertentu. Mohon dijelaskan secara singkat.,valid,ujian dan nilai
100,Saya mendapatkan informasi bahwa Mahasiswa perlu memperbarui data pribadi melalui sistem resmi kampus jika terjadi perubahan data. Mohon dijelaskan secara singkat.,valid,administrasi kampus
101,Apakah benar bahwa tugas kuliah boleh sepenuhnya disalin dari internet tanpa membaca isinya.,tidak_valid,etika akademik
102,"Saya mendapatkan informasi bahwa nilai akhir mata kuliah dapat dipengaruhi oleh tugas, kuis, praktikum, UTS, UAS, dan komponen penilaian lain.",valid,ujian dan nilai
103,"Mahasiswa sebaiknya memeriksa informasi beasiswa melalui website resmi kampus, kementerian, atau lembaga penyelenggara.",valid,beasiswa
104,Tolong cek informasi ini: mBKM memberikan kesempatan mahasiswa untuk belajar di luar program studi melalui kegiatan yang diakui sesuai ketentuan.,valid,karier mahasiswa
105,Bisakah chatbot menilai informasi berikut: Plagiarisme adalah tindakan mengambil karya atau ide orang lain tanpa mencantumkan sumber yang semestinya.,valid,etika akademik
106,Di grup mahasiswa tertulis bahwa plagiarisme adalah tindakan mengambil karya atau ide orang lain tanpa mencantumkan sumber yang semestinya.,valid,etika akademik
107,Apakah informasi ini valid: Dosen pembimbing akademik membantu mahasiswa dalam merencanakan studi dan menyelesaikan kendala akademik. Mohon dijelaskan secara singkat.,valid,layanan akademik
108,Saya membaca kabar bahwa tugas kuliah merupakan bagian dari proses evaluasi pembelajaran mahasiswa.,valid,perkuliahan
109,Apakah informasi ini valid: Portal akademik resmi dapat diganti oleh link pendek yang dikirim nomor tidak dikenal. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
110,"Benarkah Pengumuman akademik resmi biasanya disampaikan melalui website kampus, fakultas, program studi, atau portal akademik. Mohon dijelaskan secara singkat.",valid,administrasi kampus
111,Mahasiswa perlu membaca modul atau bahan ajar sebelum mengikuti perkuliahan agar lebih siap memahami materi.,valid,perkuliahan
112,Apakah benar bahwa mahasiswa perlu memperbarui data pribadi melalui sistem resmi kampus jika terjadi perubahan data.,valid,administrasi kampus
113,Tolong cek informasi ini: UKT adalah biaya pendidikan yang dibayarkan mahasiswa sesuai ketentuan perguruan tinggi. Mohon dijelaskan secara singkat.,valid,administrasi kampus
114,Ada informasi yang menyatakan bahwa mahasiswa perlu memperhatikan prasyarat mata kuliah sebelum mengambil mata kuliah lanjutan.,valid,layanan akademik
115,Saya mendapatkan informasi bahwa Plagiarisme adalah tindakan mengambil karya atau ide orang lain tanpa mencantumkan sumber yang semestinya. Mohon dijelaskan secara singkat.,valid,etika akademik
116,Benarkah Mata kuliah wajib adalah mata kuliah yang harus ditempuh mahasiswa sesuai kurikulum program studi. Mohon dijelaskan secara singkat.,valid,perkuliahan
117,Saya membaca kabar bahwa Literasi digital membantu mahasiswa mengevaluasi informasi sebelum mempercayai atau membagikannya. Mohon dijelaskan secara singkat.,valid,literasi digital
118,Ada informasi yang menyatakan bahwa Situs yang meminta PIN ATM untuk bantuan pendidikan dapat dipercaya jika tampilannya mirip website resmi. Mohon dijelaskan secara singkat.,tidak_valid,keamanan digital
119,Apakah benar bahwa dosen pembimbing akademik membantu mahasiswa dalam merencanakan studi dan menyelesaikan kendala akademik.,valid,layanan akademik
120,Saya membaca kabar bahwa Dosen pembimbing akademik membantu mahasiswa dalam merencanakan studi dan menyelesaikan kendala akademik. Mohon dijelaskan secara singkat.,valid,layanan akademik
121,"Ada informasi yang menyatakan bahwa Pembelajaran daring membutuhkan koneksi internet, perangkat pendukung, dan kedisiplinan mahasiswa. Mohon dijelaskan secara singkat.",valid,teknologi pendidikan
122,Benarkah Akun palsu yang mengatasnamakan kampus dapat menjadi sumber utama informasi akademik. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
123,Bisakah chatbot menilai informasi berikut: Password portal akademik boleh dibagikan kepada teman agar proses akademik lebih cepat. Mohon dijelaskan secara singkat.,tidak_valid,keamanan digital
124,Apakah benar bahwa Portal akademik resmi dapat diganti oleh link pendek yang dikirim nomor tidak dikenal. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
125,Ada informasi yang menyatakan bahwa Semua pengumuman kampus dari akun anonim dapat langsung dipercaya. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
126,"Benarkah kejujuran akademik diperlukan dalam ujian, tugas, praktikum, dan penulisan karya ilmiah.",valid,etika akademik
127,Kode OTP tidak boleh diberikan kepada orang lain karena dapat digunakan untuk mengakses akun pribadi.,valid,keamanan digital
128,"Apakah benar bahwa Portal akademik digunakan mahasiswa untuk mengakses layanan seperti KRS, KHS, jadwal kuliah, dan informasi akademik. Mohon dijelaskan secara singkat.",valid,layanan akademik
129,"Kejujuran akademik diperlukan dalam ujian, tugas, praktikum, dan penulisan karya ilmiah.",valid,etika akademik
130,Saya mendapatkan informasi bahwa tautan mencurigakan perlu dihindari jika meminta data pribadi atau mengarahkan ke domain tidak dikenal.,valid,keamanan digital
131,Saya membaca kabar bahwa Magang dapat membantu mahasiswa memperoleh pengalaman kerja dan menerapkan ilmu yang dipelajari di perkuliahan. Mohon dijelaskan secara singkat.,valid,karier mahasiswa
132,Mohon bantu periksa: Mahasiswa perlu memperhatikan prasyarat mata kuliah sebelum mengambil mata kuliah lanjutan. Mohon dijelaskan secara singkat.,valid,layanan akademik
133,Saya membaca kabar bahwa Kode OTP tidak boleh diberikan kepada orang lain karena dapat digunakan untuk mengakses akun pribadi. Mohon dijelaskan secara singkat.,valid,keamanan digital
134,Benarkah Kode OTP beasiswa harus dikirim ke admin pribadi agar bantuan pendidikan dapat dicairkan. Mohon dijelaskan secara singkat.,tidak_valid,hoaks beasiswa
135,Apakah benar bahwa Situs yang meminta PIN ATM untuk bantuan pendidikan dapat dipercaya jika tampilannya mirip website resmi. Mohon dijelaskan secara singkat.,tidak_valid,keamanan digital
136,"Ada informasi yang menyatakan bahwa mahasiswa sebaiknya memeriksa informasi beasiswa melalui website resmi kampus, kementerian, atau lembaga penyelenggara.",valid,beasiswa
137,Di grup mahasiswa tertulis bahwa Kode OTP beasiswa harus dikirim ke admin pribadi agar bantuan pendidikan dapat dicairkan. Mohon dijelaskan secara singkat.,tidak_valid,hoaks beasiswa
138,Saya membaca kabar bahwa mahasiswa tidak perlu memeriksa sumber informasi jika judul berita terlihat meyakinkan.,tidak_valid,literasi digital
139,Mohon bantu periksa: Nilai KHS dapat dinaikkan secara otomatis melalui website tidak resmi. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
140,"Ada informasi yang menyatakan bahwa Nilai akhir mata kuliah dapat dipengaruhi oleh tugas, kuis, praktikum, UTS, UAS, dan komponen penilaian lain. Mohon dijelaskan secara singkat.",valid,ujian dan nilai
141,Di grup mahasiswa tertulis bahwa akun palsu yang mengatasnamakan kampus dapat menjadi sumber utama informasi akademik.,tidak_valid,hoaks digital
142,Benarkah Semua pengumuman kampus dari akun anonim dapat langsung dipercaya. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
143,Ada informasi yang menyatakan bahwa Cuti akademik adalah izin berhenti sementara dari kegiatan perkuliahan sesuai ketentuan kampus. Mohon dijelaskan secara singkat.,valid,administrasi kampus
144,Di grup mahasiswa tertulis bahwa kode OTP tidak boleh diberikan kepada orang lain karena dapat digunakan untuk mengakses akun pribadi.,valid,keamanan digital
145,Apakah informasi ini valid: mahasiswa dijamin lulus semua mata kuliah jika membayar biaya tambahan ke rekening pribadi.,tidak_valid,hoaks akademik
146,Mata kuliah wajib adalah mata kuliah yang harus ditempuh mahasiswa sesuai kurikulum program studi.,valid,perkuliahan
147,Tolong cek informasi ini: iPS adalah Indeks Prestasi Semester yang menunjukkan capaian nilai mahasiswa dalam satu semester.,valid,ujian dan nilai
148,Di grup mahasiswa tertulis bahwa Mahasiswa dijamin lulus semua mata kuliah jika membayar biaya tambahan ke rekening pribadi. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
149,Saya mendapatkan informasi bahwa Mahasiswa tidak perlu mencantumkan sumber ketika menyalin tulisan dari jurnal. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
150,Di grup mahasiswa tertulis bahwa Pendaftaran seminar resmi hanya perlu membayar ke rekening pribadi tanpa informasi penyelenggara. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
151,Apakah benar bahwa Presensi kuliah digunakan untuk mencatat kehadiran mahasiswa dalam kegiatan perkuliahan. Mohon dijelaskan secara singkat.,valid,perkuliahan
152,Benarkah Skripsi merupakan karya ilmiah mahasiswa yang disusun sebagai salah satu syarat penyelesaian studi sarjana. Mohon dijelaskan secara singkat.,valid,penelitian dan skripsi
153,Bisakah chatbot menilai informasi berikut: Parafrase tetap memerlukan sitasi apabila gagasan yang digunakan berasal dari sumber lain. Mohon dijelaskan secara singkat.,valid,etika akademik
154,Benarkah informasi beasiswa tanpa penyelenggara jelas tetap dapat dipercaya jika terlihat menarik.,tidak_valid,hoaks beasiswa
155,Di grup mahasiswa tertulis bahwa Surat aktif kuliah biasanya digunakan sebagai bukti bahwa mahasiswa masih terdaftar aktif di perguruan tinggi. Mohon dijelaskan secara singkat.,valid,administrasi kampus
156,Tolong cek informasi ini: plagiarisme diperbolehkan selama tugas dikumpulkan tepat waktu.,tidak_valid,etika akademik
157,Bisakah chatbot menilai informasi berikut: mahasiswa harus mengirim foto kartu identitas dan password email ke nomor pribadi untuk aktivasi kuliah.,tidak_valid,keamanan digital
158,Bisakah chatbot menilai informasi berikut: tugas kuliah boleh sepenuhnya disalin dari internet tanpa membaca isinya.,tidak_valid,etika akademik
159,Mohon bantu periksa: Plagiarisme diperbolehkan selama tugas dikumpulkan tepat waktu. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
160,"Mohon bantu periksa: organisasi mahasiswa dapat menjadi wadah pengembangan soft skill, kepemimpinan, dan kerja sama.",valid,informasi kampus
161,Apakah informasi ini valid: mahasiswa perlu menjaga data pribadi ketika menggunakan layanan digital kampus.,valid,keamanan digital
162,Saya membaca kabar bahwa Beasiswa resmi hanya diberikan kepada mahasiswa yang menyebarkan pesan ke banyak grup. Mohon dijelaskan secara singkat.,tidak_valid,hoaks beasiswa
163,Saya mendapatkan informasi bahwa Mahasiswa dapat membayar jasa untuk membuat skripsi agar cepat lulus. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
164,Apakah benar bahwa Daftar pustaka digunakan untuk mencantumkan sumber referensi yang digunakan dalam karya ilmiah. Mohon dijelaskan secara singkat.,valid,sumber belajar
165,Saya mendapatkan informasi bahwa Akun palsu yang mengatasnamakan kampus dapat menjadi sumber utama informasi akademik. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
166,Saya membaca kabar bahwa Plagiarisme diperbolehkan selama tugas dikumpulkan tepat waktu. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
167,Daftar pustaka digunakan untuk mencantumkan sumber referensi yang digunakan dalam karya ilmiah.,valid,sumber belajar
168,Tolong cek informasi ini: Mata kuliah wajib adalah mata kuliah yang harus ditempuh mahasiswa sesuai kurikulum program studi. Mohon dijelaskan secara singkat.,valid,perkuliahan
169,Saya membaca kabar bahwa mBKM memberikan kesempatan mahasiswa untuk belajar di luar program studi melalui kegiatan yang diakui sesuai ketentuan.,valid,karier mahasiswa
170,Mohon bantu periksa: Kode OTP tidak boleh diberikan kepada orang lain karena dapat digunakan untuk mengakses akun pribadi. Mohon dijelaskan secara singkat.,valid,keamanan digital
171,Bisakah chatbot menilai informasi berikut: Cuti akademik adalah izin berhenti sementara dari kegiatan perkuliahan sesuai ketentuan kampus. Mohon dijelaskan secara singkat.,valid,administrasi kampus
172,Di grup mahasiswa tertulis bahwa berita yang hanya berasal dari pesan berantai perlu diperiksa ulang sebelum dipercaya.,valid,literasi digital
173,Tolong cek informasi ini: Password portal akademik boleh dibagikan kepada teman agar proses akademik lebih cepat. Mohon dijelaskan secara singkat.,tidak_valid,keamanan digital
174,Benarkah Semua informasi viral tentang kampus pasti benar karena banyak dibagikan. Mohon dijelaskan secara singkat.,tidak_valid,literasi digital
175,"Saya mendapatkan informasi bahwa rPS atau Rencana Pembelajaran Semester berisi rencana pembelajaran, capaian, materi, dan evaluasi perkuliahan.",valid,perkuliahan
176,Di grup mahasiswa tertulis bahwa Password portal akademik boleh dibagikan kepada teman agar proses akademik lebih cepat. Mohon dijelaskan secara singkat.,tidak_valid,keamanan digital
177,Mohon bantu periksa: Mahasiswa dijamin lulus semua mata kuliah jika membayar biaya tambahan ke rekening pribadi. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
178,Tolong cek informasi ini: Mahasiswa harus mengirim foto kartu identitas dan password email ke nomor pribadi untuk aktivasi kuliah. Mohon dijelaskan secara singkat.,tidak_valid,keamanan digital
179,Saya membaca kabar bahwa Mahasiswa perlu membandingkan informasi dari beberapa sumber sebelum mengambil keputusan akademik. Mohon dijelaskan secara singkat.,valid,literasi digital
180,"Tolong cek informasi ini: pengumuman akademik resmi biasanya disampaikan melalui website kampus, fakultas, program studi, atau portal akademik.",valid,administrasi kampus
181,"Saya mendapatkan informasi bahwa Informasi beasiswa resmi biasanya mencantumkan penyelenggara, persyaratan, manfaat, dan kontak yang dapat diverifikasi.",valid,beasiswa
182,Ada informasi yang menyatakan bahwa Mahasiswa dapat membayar jasa untuk membuat skripsi agar cepat lulus. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
183,"Benarkah Mahasiswa sebaiknya memeriksa informasi beasiswa melalui website resmi kampus, kementerian, atau lembaga penyelenggara. Mohon dijelaskan secara singkat.",valid,beasiswa
